shape,dtype,itemsize,n
,torch.float32,4,1
d_model,torch.float32,4,num_layers*24
d_model d_model,torch.float32,4,num_layers*4
d_model d_model*d_ff_factor,torch.float32,4,num_layers*4
d_model*3,torch.float32,4,num_layers*4
d_model*3 d_model,torch.float32,4,num_layers*4
d_model*d_ff_factor,torch.float32,4,num_layers*4
d_model*d_ff_factor d_model,torch.float32,4,num_layers*4
length batch_size,torch.int64,8,2
length batch_size voc_size,torch.bfloat16,2,1
length+1 batch_size,torch.int64,8,1
pos_buffer_len d_model//nhead//2,torch.float32,4,2
pos_buffer_len pos_buffer_len,torch.float32,4,1
voc_size,torch.float32,4,4
voc_size d_model,torch.float32,4,8
