,coord_follow_atom,no_lig_h_atom,no_lig_h_coord,no_pocket_heavy_atom,no_pocket_heavy_coord,pocket_h_atom,pocket_h_coord,lig_atoms,lig_coord_follow_atom,lig_atom_order,pocket_atom_order
250916_main/tf_lpr_test,False,False,False,False,False,False,False,,,,
250919_20000/mamba_lp,False,False,False,False,False,False,False,,,,
250919_20000/mamba_lpr,False,False,False,False,False,False,False,,,,
250919_20000/tf_lp,False,False,False,False,False,False,False,,,,
250919_20000/tf_lpr,False,False,False,False,False,False,False,,,,
250919_radam/mamba_lp,False,False,False,False,False,False,False,,,,
250919_radam/mamba_lpr,False,False,False,False,False,False,False,,,,
250919_radam/tf_lp,False,False,False,False,False,False,False,,,,
250919_radam/tf_lpr,False,False,False,False,False,False,False,,,,
250919_radam_lr001/mamba_lp,False,False,False,False,False,False,False,,,,
250919_radam_lr001/mamba_lpr,False,False,False,False,False,False,False,,,,
250920_50000/mamba_lp,False,False,False,False,False,False,False,,,,
250920_50000/mamba_lpr,False,False,False,False,False,False,False,,,,
250922_20000/ft_tf_lpr,False,False,False,False,False,False,False,,,,
250922_compat/mamba_lp,False,False,False,False,False,False,False,,,,
250922_compat/tf_lp,False,False,False,False,False,False,False,,,,
250929_mamba_init_state/0,False,False,False,False,False,False,False,,,,
250929_mamba_init_state/1,False,False,False,False,False,False,False,,,,
250929_mamba_init_state/2,False,False,False,False,False,False,False,,,,
250930_20000/mamba_lp,False,False,False,False,False,False,False,,,,
250930_20000/mamba_lpr,False,False,False,False,False,False,False,,,,
250930_20000/tf_lp,False,False,False,False,False,False,False,,,,
250930_20000/tf_lpr,False,False,False,False,False,False,False,,,,
250930_init_state/mamba_lp/0,False,False,False,False,False,False,False,,,,
250930_init_state/mamba_lp/1,False,False,False,False,False,False,False,,,,
250930_init_state/mamba_lp/2,False,False,False,False,False,False,False,,,,
250930_init_state/mamba_lpr/0,False,False,False,False,False,False,False,,,,
250930_init_state/mamba_lpr/1,False,False,False,False,False,False,False,,,,
250930_init_state/mamba_lpr/2,False,False,False,False,False,False,False,,,,
251001_20000/mamba_lp,False,False,False,False,False,False,False,,,,
251001_20000/mamba_lpr,False,False,False,False,False,False,False,,,,
251001_20000/tf_lp,False,False,False,False,False,False,False,,,,
251001_20000/tf_lpr,False,False,False,False,False,False,False,,,,
251001_init_state/mamba_lp/0,False,False,False,False,False,False,False,,,,
251001_init_state/mamba_lp/1,False,False,False,False,False,False,False,,,,
251001_init_state/mamba_lp/2,False,False,False,False,False,False,False,,,,
251001_init_state/mamba_lpr/0,False,False,False,False,False,False,False,,,,
251001_init_state/mamba_lpr/1,False,False,False,False,False,False,False,,,,
251001_init_state/mamba_lpr/2,False,False,False,False,False,False,False,,,,
251003_20000/mamba_lpr,False,False,False,False,False,False,False,,,,
251003_20000/mamba_lr,False,False,False,False,False,False,False,,,,
251003_20000/tf_lpr,False,False,False,False,False,False,False,,,,
251003_20000/tf_lr,False,False,False,False,False,False,False,,,,
251006_60000/mamba_lp,False,False,False,False,False,False,False,,,,
251006_60000/mamba_lp_inverse,False,False,False,False,False,False,False,,,,
251006_60000/mamba_lpr,False,False,False,False,False,False,False,,,,
251006_60000/mamba_lpr_inverse,False,False,False,False,False,False,False,,,,
251031_20000/mamba_cfa,True,False,False,False,False,False,False,False,False,,
251031_20000/mamba_la_noligh,False,True,True,False,False,False,False,True,False,,
251031_20000/mamba_la_pocketh,False,False,False,False,False,True,True,True,False,,
251031_20000/mamba_lp,False,False,False,False,False,False,False,,,,
251031_20000/mamba_lr,False,False,False,False,False,False,False,,,,
251031_20000/tf_lp,False,False,False,False,False,False,False,,,,
251031_20000/tf_lr,False,False,False,False,False,False,False,,,,
251031_20000_mistake_opt/mamba_lp,False,False,False,False,False,False,False,,,,
251031_20000_mistake_opt/mamba_lr,False,False,False,False,False,False,False,,,,
251031_20000_mistake_opt/tf_lp,False,False,False,False,False,False,False,,,,
251031_20000_mistake_opt/tf_lr,False,False,False,False,False,False,False,,,,
251229_ablations/tf_lao_noligh,False,True,True,False,False,False,False,True,False,True,True
251229_ablations/tf_lao_pocketh,False,False,False,False,False,True,True,True,False,True,True
251229_ablations/tf_pao,False,False,False,False,False,False,False,False,False,False,True
main/250917_mamba_lp,False,False,False,False,False,False,False,,,,
main/250917_mamba_lpr,False,False,False,False,False,False,False,,,,
main/250917_tf_lp,False,False,False,False,False,False,False,,,,
main/250917_tf_lpr,False,False,False,False,False,False,False,,,,
